commodity_key,unit,currency,category,source_url,quoted_incoterm,quoted_named_place,decided_by
acrylic-acid-cn,,,,,,,
acrylic-acid-eu,,,,,,,
acrylic-acid-na,,,,,,,
acrylonitrile-cn,,,,,,,
acrylonitrile-eu,,,,,,,
acrylonitrile-na,,,,,,,
alkalies-chlorine-ppi,,,,,,,
aluminum,$/mt,,,,,,
ammonia-eu,,,,,,,
ammonia-in,,,,,,,
ammonia-mea,,,,,,,
ammonia-na,,,,,,,
aromatics-ppi,,,,,,,
base-oil-apac,,,,,,,
base-oil-eu,,,,,,,
base-oil-na,,,,,,,
benzene-apac,,,,,,,
benzene-cn,,,,,,,
benzene-eu,,,,,,,
benzene-na,,,,,,,
bpa-apac,,,,,,,
bpa-cn,,,,,,,
bpa-eu,,,,,,,
brent,,,,,,,
caprolactam-cn,,,,,,,
caprolactam-eu,,,,,,,
caprolactam-na,,,,,,,
caustic-soda-cn,,,,,,,
caustic-soda-eu,,,,,,,
caustic-soda-in,,,,,,,
caustic-soda-na,,,,,,,
caustic-soda-ppi,,,,,,,
chlor-naoh-ppi,,,,,,,
coal-au,,,,,,,
coconut-oil-wb,,,,,,,
copper,$/mt,,,,,,
corn,$/mt,,,,FOB,US Gulf,
corn-na,,,,,,,
cpo,,,,,,,
dap,,,,,DAP,spot FOB US Gulf,
elec-cn,,,,,,,
elec-eu,,,,,,,
elec-in,,,,,,,
elec-mea,,,,,,,
elec-na,,,,,,,
elec-power-ppi,,,,,,,
ethanol-ppi,,,,,,,
ethylene-propylene-cn,,,,,,,
ethylene-propylene-eu,,,,,,,
ethylene-propylene-na,,,,,,,
fatty-acids-ppi,,,,,,,
gas-brazil,,,,,,,
gas-china,$/MMBtu,,,,,,
gas-india,$/MMBtu,,,,,,
gas-mea,$/MMBtu,,,,,,
gold,$/toz,,,,,,
guar-gum,,,,,,,
gum-wood-na,,,,,,,
hdpe-cn,,,,,,,
hdpe-eu,,,,,,,
hdpe-na,,,,,,,
hides-gl,,,,,,,
ilmenite,,,,,,,
industrial-chemicals,,,,,,,
inorg-chem-ppi,,,,,,,
iron-ore,$/dmt,,,,CFR,China 62% Fe,
iron-scrap-eu,,,,,FOB,benchmark,
iron-scrap-na,,,,,,,
kcl-wb,,,,,,,
lab-apac,,,,,CFR,Asia,
lab-eu,,,,,,,
lab-in,,,,,FOB,India,
lab-mea,,,,,FOB,ME,
lab-na,,,,,,,
lci-apac,,,,,,,
lci-cn,,,,,,,
lci-eu,,,,,,,
lci-in,,,,,,,
lci-la,,,,,,,
lci-mea,,,,,,,
lci-na,,,,,,,
lead,$/mt,,,,,,
lime-na,,,,,,,
lng-japan,$/MMBtu,,,,CIF,import price,
lng-jkm-asia,,,,,,,
methanol-na,USD/MT,,,,,,
mma-cn,,,,,,,
mma-eu,,,,,,,
mop,$/mt,,,,CFR,Brazil,
natgas-na,$/MMBtu,,,,,,
natgas-ppi,,,,,,,
nickel,$/mt,,,,,,
orange-gl,,,,,,,
phosphates-ppi,,,,,,,
phthalic-anhydride-eu,,,,,,,
pko,,,,,,,
ppi-na,,,,,,,
primary-organics-ppi,,,,,,,
refinery-gases-ppi,,,,,,,
rubber,$/kg,,,,,,
rutile,,,,,,,
salt-ppi,,,,,,,
silicon-metal-cn,,,,,,,
silicon-metal-mb,,,,,,,
silicon-metal-na,,,,,,,
silver,$/toz,,,,,,
soybean-oil,$/mt,,,,FOB,US Gulf,
sulfuric-acid-cn,,,,,,,
sulfuric-acid-eu,,,,,,,
sulfuric-acid-na,,,,,,,
synthetic-rubber,,,,,,,
tallow-ppi,,,,,,,
tin,$/mt,,,,,,
ttf-eu,$/MMBtu,,,,,,
urea,,,,,FOB,Middle East,
water-eu,,,,,,,
wheat,$/mt,,,,,,
wood-pulp-na,,,,,,,
wti,,,,,,,
zinc,$/mt,,,,,,
zinc-gl,,,,,,,
