table,key,column,problem
combos,SPO-PA12-PEL·EU,subfamily,"formula says ""Engineering thermoplastics"", combo says ""High performance polymers"" — used combo"
combo_lines,PIG-TIO2-CHL·EU#1,resolves_to,"type-code ""RUT-MB"" -> no_series"
combo_lines,PIG-TIO2-CHL·NA#1,resolves_to,"type-code ""RUT-MB"" -> no_series"
combo_lines,PIG-TIO2-SUL·EU#1,resolves_to,"type-code ""ILM-MB"" -> no_series"
combo_lines,PIG-TIO2-SUL·CN#1,resolves_to,"type-code ""ILM-MB"" -> no_series"
combo_lines,PIG-TIO2-SUL·NA#1,resolves_to,"type-code ""ILM-MB"" -> no_series"
combo_lines,PIG-TIO2-SUL·APAC#1,resolves_to,"type-code ""ILM-MB"" -> no_series"
combo_lines,PIG-TIO2-SUL·IN#1,resolves_to,"type-code ""ILM-MB"" -> no_series"
combo_lines,PAM-C-PWD·NA#4,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,PAM-C-PWD·APAC#5,resolves_to,"type-code ""LNG-JKM"" -> no_series"
combo_lines,PAM-C-SOL·NA#5,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,PAM-N-PWD·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,PAM-N-PWD·APAC#3,resolves_to,"type-code ""LNG-JKM"" -> no_series"
combo_lines,PAM-N-SOL·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,SIL-EMU-35·EU#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-EMU-35·CN#1,resolves_to,"type-code ""SI-CN"" -> no_series"
combo_lines,SIL-EMU-35·APAC#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-EMU-60·EU#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-EMU-60·CN#1,resolves_to,"type-code ""SI-CN"" -> no_series"
combo_lines,SIL-PDMS-HGH·EU#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-PDMS-HGH·CN#1,resolves_to,"type-code ""SI-CN"" -> no_series"
combo_lines,SIL-PDMS-HGH·NA#1,resolves_to,"type-code ""SI-NA"" -> no_series"
combo_lines,SIL-PDMS-HGH·APAC#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-PDMS-LOW·EU#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-PDMS-LOW·CN#1,resolves_to,"type-code ""SI-CN"" -> no_series"
combo_lines,SIL-PDMS-LOW·NA#1,resolves_to,"type-code ""SI-NA"" -> no_series"
combo_lines,SIL-PDMS-LOW·APAC#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-RTV1-LIQ·EU#1,resolves_to,"type-code ""SI-MB"" -> no_series"
combo_lines,SIL-RTV1-LIQ·CN#1,resolves_to,"type-code ""SI-CN"" -> no_series"
