combo_id,formula_id,region,seq,weight_pct,weight_frac,label,type_code,raw_flag,kind,proxy_status,resolves_to,resolution,label_short,commodity_key
OLE-FAC-SAT·EU,OLE-FAC-SAT,EU,1,70,0.7,CPO feedstock,CPO-MY,p,indexed,proxy,cpo,resolved,CPO feedstock,cpo
OLE-FAC-SAT·EU,OLE-FAC-SAT,EU,2,8,0.08,Industrial electricity,ELEC-EU,d,indexed,direct,elec-eu,resolved,Industrial electricity,elec-eu
OLE-FAC-SAT·EU,OLE-FAC-SAT,EU,3,13,0.13,Fixed costs LCI,LCI-EU,d,indexed,direct,lci-eu,resolved,Fixed costs LCI,lci-eu
OLE-FAC-SAT·EU,OLE-FAC-SAT,EU,4,9,0.09,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
OLE-FAC-SAT·CN,OLE-FAC-SAT,CN,1,70,0.7,CPO feedstock,CPO-MY,p,indexed,proxy,cpo,resolved,CPO feedstock,cpo
OLE-FAC-SAT·CN,OLE-FAC-SAT,CN,2,8,0.08,Industrial electricity,ELEC-CN,d,indexed,direct,elec-cn,resolved,Industrial electricity,elec-cn
OLE-FAC-SAT·CN,OLE-FAC-SAT,CN,3,13,0.13,Fixed costs LCI,LCI-CN,d,indexed,direct,lci-cn,resolved,Fixed costs LCI,lci-cn
OLE-FAC-SAT·CN,OLE-FAC-SAT,CN,4,9,0.09,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
OLE-FAC-SAT·NA,OLE-FAC-SAT,NA,1,70,0.7,CPO feedstock,CPO-MY,p,indexed,proxy,cpo,resolved,CPO feedstock,cpo
OLE-FAC-SAT·NA,OLE-FAC-SAT,NA,2,8,0.08,Industrial electricity,ELEC-NA,d,indexed,direct,elec-na,resolved,Industrial electricity,elec-na
OLE-FAC-SAT·NA,OLE-FAC-SAT,NA,3,13,0.13,Fixed costs LCI,LCI-NA,d,indexed,direct,lci-na,resolved,Fixed costs LCI,lci-na
OLE-FAC-SAT·NA,OLE-FAC-SAT,NA,4,9,0.09,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
OLE-FAC-SAT·APAC,OLE-FAC-SAT,APAC,1,70,0.7,CPO feedstock,CPO-MY,d,indexed,direct,cpo,resolved,CPO feedstock,cpo
OLE-FAC-SAT·APAC,OLE-FAC-SAT,APAC,2,8,0.08,Industrial electricity,ELEC-APAC,d,indexed,direct,elec-cn,resolved,Industrial electricity,elec-cn
OLE-FAC-SAT·APAC,OLE-FAC-SAT,APAC,3,13,0.13,Fixed costs LCI,LCI-APAC,d,indexed,direct,lci-apac,resolved,Fixed costs LCI,lci-apac
OLE-FAC-SAT·APAC,OLE-FAC-SAT,APAC,4,9,0.09,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
OLE-FAC-SAT·IN,OLE-FAC-SAT,IN,1,70,0.7,CPO feedstock,CPO-MY,d,indexed,direct,cpo,resolved,CPO feedstock,cpo
OLE-FAC-SAT·IN,OLE-FAC-SAT,IN,2,8,0.08,Industrial electricity,ELEC-IN,d,indexed,direct,elec-in,resolved,Industrial electricity,elec-in
OLE-FAC-SAT·IN,OLE-FAC-SAT,IN,3,13,0.13,Fixed costs LCI,LCI-IN,d,indexed,direct,lci-in,resolved,Fixed costs LCI,lci-in
OLE-FAC-SAT·IN,OLE-FAC-SAT,IN,4,9,0.09,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
OLE-FAC-SAT·MEA,OLE-FAC-SAT,MEA,1,70,0.7,CPO feedstock,CPO-MY,d,indexed,direct,cpo,resolved,CPO feedstock,cpo
OLE-FAC-SAT·MEA,OLE-FAC-SAT,MEA,2,8,0.08,Industrial electricity,ELEC-EU,p,indexed,proxy,elec-eu,resolved,Industrial electricity,elec-eu
OLE-FAC-SAT·MEA,OLE-FAC-SAT,MEA,3,13,0.13,Fixed costs LCI,LCI-MEA,d,indexed,direct,lci-mea,resolved,Fixed costs LCI,lci-mea
OLE-FAC-SAT·MEA,OLE-FAC-SAT,MEA,4,9,0.09,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
FA-US·EU,FA-US,EU,1,68,0.68,CPO feedstock,CPO-MY,p,indexed,proxy,cpo,resolved,CPO feedstock,cpo
FA-US·EU,FA-US,EU,2,8,0.08,Industrial electricity,ELEC-EU,d,indexed,direct,elec-eu,resolved,Industrial electricity,elec-eu
FA-US·EU,FA-US,EU,3,13,0.13,Fixed costs LCI,LCI-EU,d,indexed,direct,lci-eu,resolved,Fixed costs LCI,lci-eu
FA-US·EU,FA-US,EU,4,11,0.11,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
FA-US·CN,FA-US,CN,1,68,0.68,CPO feedstock,CPO-MY,p,indexed,proxy,cpo,resolved,CPO feedstock,cpo
FA-US·CN,FA-US,CN,2,8,0.08,Industrial electricity,ELEC-CN,d,indexed,direct,elec-cn,resolved,Industrial electricity,elec-cn
FA-US·CN,FA-US,CN,3,13,0.13,Fixed costs LCI,LCI-CN,d,indexed,direct,lci-cn,resolved,Fixed costs LCI,lci-cn
FA-US·CN,FA-US,CN,4,11,0.11,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
FA-US·APAC,FA-US,APAC,1,68,0.68,CPO feedstock,CPO-MY,d,indexed,direct,cpo,resolved,CPO feedstock,cpo
FA-US·APAC,FA-US,APAC,2,8,0.08,Industrial electricity,ELEC-APAC,d,indexed,direct,elec-cn,resolved,Industrial electricity,elec-cn
FA-US·APAC,FA-US,APAC,3,13,0.13,Fixed costs LCI,LCI-APAC,d,indexed,direct,lci-apac,resolved,Fixed costs LCI,lci-apac
FA-US·APAC,FA-US,APAC,4,11,0.11,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
FA-US·IN,FA-US,IN,1,68,0.68,CPO feedstock,CPO-MY,d,indexed,direct,cpo,resolved,CPO feedstock,cpo
FA-US·IN,FA-US,IN,2,8,0.08,Industrial electricity,ELEC-IN,d,indexed,direct,elec-in,resolved,Industrial electricity,elec-in
FA-US·IN,FA-US,IN,3,13,0.13,Fixed costs LCI,LCI-IN,d,indexed,direct,lci-in,resolved,Fixed costs LCI,lci-in
FA-US·IN,FA-US,IN,4,11,0.11,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
OLE-FAL-CPO·EU,OLE-FAL-CPO,EU,1,59,0.59,Crude palm oil CPO,CPO-MY,p,indexed,proxy,cpo,resolved,Crude palm oil CPO,cpo
OLE-FAL-CPO·EU,OLE-FAL-CPO,EU,2,8,0.08,Hydrogen natural gas proxy,TTF-EU,p,indexed,proxy,ttf-eu,resolved,Hydrogen natural gas proxy,ttf-eu
OLE-FAL-CPO·EU,OLE-FAL-CPO,EU,3,10,0.1,Industrial electricity,ELEC-EU,d,indexed,direct,elec-eu,resolved,Industrial electricity,elec-eu
OLE-FAL-CPO·EU,OLE-FAL-CPO,EU,4,12,0.12,Fixed costs LCI,LCI-EU,d,indexed,direct,lci-eu,resolved,Fixed costs LCI,lci-eu
OLE-FAL-CPO·EU,OLE-FAL-CPO,EU,5,11,0.11,Supplier margin,fixed,f,fixed,,,fixed,Supplier margin,
OLE-FAL-CPO·CN,OLE-FAL-CPO,CN,1,59,0.59,Crude palm oil CPO,CPO-MY,p,indexed,proxy,cpo,resolved,Crude palm oil CPO,cpo
OLE-FAL-CPO·CN,OLE-FAL-CPO,CN,2,8,0.08,Hydrogen natural gas proxy,NDRC-CN,p,indexed,proxy,gas-china,resolved,Hydrogen natural gas proxy,gas-china
